slot_id,old_Word_baseline_SHA,old_location,table_cell_or_context,MR,CL,old_claim,old_numeric_token,current_evidence_path,evidence_row_key,new_numeric,unit,population,candidate,disposition,missing_condition,candidate_new_section,Word_status
NS0001,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P002,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.","MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.","60,453",D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,core_metrics: main E0 G and R0c GK n,60436.0,events,main all_valid,"This retrospective study reconstructs customer impact and restoration spans from stage records for 60,436 eligible outage incidents attributed to weather or asset conditions between April 2021 and March 2024. Quadratic models describe ln(1 + affected customers) and ln(restoration span in hours), conditional on a recorded incident. The customer-impact curve has a fitted minimum of 10.8 m/s at the main-sample mean pressure; its location is conditional on the specification and reference, and no validated physical-unit confidence interval is attached. Paired date-group out-of-fold evaluation gives pooled R² values of 0.0296 and 0.0920 for the two main models. In recovery, the conditional increment from the customer block exceeds the increment from the gust block in the main sample, whereas the ordering of point estimates differs in the weather-attributed subset. This comparison uses eventual customer information and does not establish stable differences across populations or initial-response usefulness. Positive cubic OOF increments and changing period and stage-composition patterns limit claims of a uniquely supported quadratic shape. The analysis describes variation in recorded outage consequences; independent weather-process evaluation and engineering-scale calibration remain necessary.",whole_paragraph_or_caption_rewrite,,Abstract,not_modified
NS0002,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P002,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.","MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",2021,R05/OOF_SCORE_AUDIT.csv; R04/tables/AppendixH_pressure_minima.json; R05/tables/CUBIC_PAIRED_AUDIT.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"This retrospective study reconstructs customer impact and restoration spans from stage records for 60,436 eligible outage incidents attributed to weather or asset conditions between April 2021 and March 2024. Quadratic models describe ln(1 + affected customers) and ln(restoration span in hours), conditional on a recorded incident. The customer-impact curve has a fitted minimum of 10.8 m/s at the main-sample mean pressure; its location is conditional on the specification and reference, and no validated physical-unit confidence interval is attached. Paired date-group out-of-fold evaluation gives pooled R² values of 0.0296 and 0.0920 for the two main models. In recovery, the conditional increment from the customer block exceeds the increment from the gust block in the main sample, whereas the ordering of point estimates differs in the weather-attributed subset. This comparison uses eventual customer information and does not establish stable differences across populations or initial-response usefulness. Positive cubic OOF increments and changing period and stage-composition patterns limit claims of a uniquely supported quadratic shape. The analysis describes variation in recorded outage consequences; independent weather-process evaluation and engineering-scale calibration remain necessary.",whole_paragraph_or_caption_rewrite,,Abstract,not_modified
NS0003,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P002,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.","MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",2024,R05/OOF_SCORE_AUDIT.csv; R04/tables/AppendixH_pressure_minima.json; R05/tables/CUBIC_PAIRED_AUDIT.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"This retrospective study reconstructs customer impact and restoration spans from stage records for 60,436 eligible outage incidents attributed to weather or asset conditions between April 2021 and March 2024. Quadratic models describe ln(1 + affected customers) and ln(restoration span in hours), conditional on a recorded incident. The customer-impact curve has a fitted minimum of 10.8 m/s at the main-sample mean pressure; its location is conditional on the specification and reference, and no validated physical-unit confidence interval is attached. Paired date-group out-of-fold evaluation gives pooled R² values of 0.0296 and 0.0920 for the two main models. In recovery, the conditional increment from the customer block exceeds the increment from the gust block in the main sample, whereas the ordering of point estimates differs in the weather-attributed subset. This comparison uses eventual customer information and does not establish stable differences across populations or initial-response usefulness. Positive cubic OOF increments and changing period and stage-composition patterns limit claims of a uniquely supported quadratic shape. The analysis describes variation in recorded outage consequences; independent weather-process evaluation and engineering-scale calibration remain necessary.",whole_paragraph_or_caption_rewrite,,Abstract,not_modified
NS0004,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P002,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.","MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",10.7,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,10.807545499294342,m/s,main all_valid,"This retrospective study reconstructs customer impact and restoration spans from stage records for 60,436 eligible outage incidents attributed to weather or asset conditions between April 2021 and March 2024. Quadratic models describe ln(1 + affected customers) and ln(restoration span in hours), conditional on a recorded incident. The customer-impact curve has a fitted minimum of 10.8 m/s at the main-sample mean pressure; its location is conditional on the specification and reference, and no validated physical-unit confidence interval is attached. Paired date-group out-of-fold evaluation gives pooled R² values of 0.0296 and 0.0920 for the two main models. In recovery, the conditional increment from the customer block exceeds the increment from the gust block in the main sample, whereas the ordering of point estimates differs in the weather-attributed subset. This comparison uses eventual customer information and does not establish stable differences across populations or initial-response usefulness. Positive cubic OOF increments and changing period and stage-composition patterns limit claims of a uniquely supported quadratic shape. The analysis describes variation in recorded outage consequences; independent weather-process evaluation and engineering-scale calibration remain necessary.",whole_paragraph_or_caption_rewrite,,Abstract,not_modified
NS0005,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P005,1. Introduction,,,1. Introduction,1,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0006,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P006,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.","MR05,MR27","CL01,CL02,CL05","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",1,R04/tables/storm_LAD_details.csv; contracts/WEATHER_AND_REGIONAL_SOURCES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Severe-weather windows illustrate the scale of consequences recorded within the study network. In the main sample of incidents attributed to weather or asset conditions, the selected Eunice window contains 1,659 incidents across 101 LADs, with 395,470 aggregated affected customers and a mean recorded restoration span of 54.56 hours. The weather-attributed subset of that window contains 1,398 incidents. The largest matched gust value is 39.4 m/s, an archived weather proxy whose historical product and short-duration observational interpretation are not fully established. These incident-conditioned descriptions motivate examining customer impact and restoration spans without treating them as measurements of component failure probability.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0007,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P006,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.","MR05,MR27","CL01,CL02,CL05","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",2021,R04/tables/storm_LAD_details.csv; contracts/WEATHER_AND_REGIONAL_SOURCES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Severe-weather windows illustrate the scale of consequences recorded within the study network. In the main sample of incidents attributed to weather or asset conditions, the selected Eunice window contains 1,659 incidents across 101 LADs, with 395,470 aggregated affected customers and a mean recorded restoration span of 54.56 hours. The weather-attributed subset of that window contains 1,398 incidents. The largest matched gust value is 39.4 m/s, an archived weather proxy whose historical product and short-duration observational interpretation are not fully established. These incident-conditioned descriptions motivate examining customer impact and restoration spans without treating them as measurements of component failure probability.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0008,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P006,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.","MR05,MR27","CL01,CL02,CL05","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",2,R04/tables/storm_LAD_details.csv; contracts/WEATHER_AND_REGIONAL_SOURCES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Severe-weather windows illustrate the scale of consequences recorded within the study network. In the main sample of incidents attributed to weather or asset conditions, the selected Eunice window contains 1,659 incidents across 101 LADs, with 395,470 aggregated affected customers and a mean recorded restoration span of 54.56 hours. The weather-attributed subset of that window contains 1,398 incidents. The largest matched gust value is 39.4 m/s, an archived weather proxy whose historical product and short-duration observational interpretation are not fully established. These incident-conditioned descriptions motivate examining customer impact and restoration spans without treating them as measurements of component failure probability.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0009,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P006,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.","MR05,MR27","CL01,CL02,CL05","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",39.4,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;gust_max_ms,39.400001525878906,"m/s cached proxy, observed/3-second semantics unverified",main Eunice,"Severe-weather windows illustrate the scale of consequences recorded within the study network. In the main sample of incidents attributed to weather or asset conditions, the selected Eunice window contains 1,659 incidents across 101 LADs, with 395,470 aggregated affected customers and a mean recorded restoration span of 54.56 hours. The weather-attributed subset of that window contains 1,398 incidents. The largest matched gust value is 39.4 m/s, an archived weather proxy whose historical product and short-duration observational interpretation are not fully established. These incident-conditioned descriptions motivate examining customer impact and restoration spans without treating them as measurements of component failure probability.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0010,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P006,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.","MR05,MR27","CL01,CL02,CL05","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",18,R04/tables/storm_LAD_details.csv; contracts/WEATHER_AND_REGIONAL_SOURCES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Severe-weather windows illustrate the scale of consequences recorded within the study network. In the main sample of incidents attributed to weather or asset conditions, the selected Eunice window contains 1,659 incidents across 101 LADs, with 395,470 aggregated affected customers and a mean recorded restoration span of 54.56 hours. The weather-attributed subset of that window contains 1,398 incidents. The largest matched gust value is 39.4 m/s, an archived weather proxy whose historical product and short-duration observational interpretation are not fully established. These incident-conditioned descriptions motivate examining customer impact and restoration spans without treating them as measurements of component failure probability.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
