requirement_id,claim_id,appendix,subsection,question,unit,sample,model,metrics,validation,duplicate_body,scope_note,expected_outputs
A01,CL_A01,A,A.1–A.3,固定输入的样本量、原因计数和日期/LAD覆盖,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,恢复回归剔除零客户；不能把59834称为最终恢复样本。,A/tables/A_SAMPLE_FLOW.csv;A/tables/A_SAMPLE_FLOW.md;A/tables/A_CAUSE_COUNTS.csv;A/tables/A_CAUSE_COUNTS.md;A/tables/A_COVARIATE_SUMMARY.csv;A/tables/A_COVARIATE_SUMMARY.md
A02,CL_A02,A,A.2,变量、单位、来源、变换、参考水平,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,正文使用变换后OLS；不是GLM log link。地区变量定义复用旧附录A，不迁移旧同字母章节的结论。,A/tables/A_VARIABLE_DICTIONARY.csv;A/tables/A_VARIABLE_DICTIONARY.md
A03,CL_A03,A,A.1,原始原因代码映射,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,复用已有原因字典，未对监管原始代码重新审计；样本实际组别见A01。,A/tables/A03_EXISTING_DEFINITION.csv;A/tables/A03_EXISTING_DEFINITION.md
A04,CL_A04,A,A.4,固定最终设计矩阵的VIF描述统计,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,当前全体最终设计矩阵，不读取响应变量拟合,VIF=预测列相关矩阵逆矩阵对角线；包含虚拟变量控制，不含截距,只读已有结果；本轮不拟合,False,复用原纯设计函数的隔离适配层，不执行旧模块顶层运行/拟合。全设计VIF与仅原始连续变量的VIF不是同一口径；不据此调整模型。,A/tables/A_FINAL_DESIGN_VIF.csv;A/tables/A_FINAL_DESIGN_VIF.md
A05,CL_A05,A,A.4,已有固定十分位原因构成数据,incident,C01 corrected combined WT，包括16条C缺失记录；表中n合计60453,见需求说明；不合并不同规格排名,gust_min/max m/s；pct_weather_natural为百分数，n为计数,只读已有结果；本轮不拟合,False,既有十分位表约6.93%至57.06%；不把它解释成因果分解，也不能替代未定位的91%端点，见A06。,A/tables/A05_APPENDIXG_TABLE_G1_CORRECTED.csv;A/tables/A05_APPENDIXG_TABLE_G1_CORRECTED.md
A06,CL_A06,A,A.4,与91%端点匹配的既有分箱/计数,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,,
B01,CL_B01,B,B.1–B.2,事件构造规则和代表行修复证据,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,C01清理计数为历史全事件构建范围，不能当作当前60437行回归样本。,B/tables/B_CONSTRUCTION_RULES.csv;B/tables/B_CONSTRUCTION_RULES.md;B/tables/B_REPRESENTATIVE_REPAIR.csv;B/tables/B_REPRESENTATIVE_REPAIR.md
B02,CL_B02,B,B.3–B.4,在固定恢复输入上汇总零客户/正客户、1小时、A/B时长,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,计数、比例；时长h,只读已有结果；本轮不拟合,False,不从1小时峰直接推断自动重合闸；加权时长和跨度的差别不自动证明伪相关。,B/tables/B_RECOVERY_DEFINITION.csv;B/tables/B_RECOVERY_DEFINITION.md
B03,CL_B03,B,B.1,第一阶段对完整事件的已有比较,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,仅保存既有文字证据及其历史样本说明；不把旧聚合均值直接当作当前E0重新计算结果。,B/tables/B03_EXISTING_DEFINITION.csv;B/tables/B03_EXISTING_DEFINITION.md
C01,CL_C01,C,C.1,四组最终样本及精确候选定义,incident,E0 all60437/weather9857; positive R0c all51173/weather9254,exact original ladder + separately matched final controls,full Gaussian OLS AIC/BIC; pooled log-response RMSE,original LAD/random/year rules; train-only scaling/cuts/knots; compatible source components reused,False,APP-C-COMPLETE授权仅C补算；历史含零客户恢复结果不作当前排名。,C/tables/C_CANDIDATE_DEFINITIONS.csv;C/tables/C_CANDIDATE_DEFINITIONS.md;C/tables/C_SAMPLE_DEFINITIONS.csv;C/tables/C_SAMPLE_DEFINITIONS.md
C02,CL_C02,C,C.2,原12阶梯及Table 3单/双自由结点比较,incident,E0 all60437/weather9857; positive R0c all51173/weather9254,exact original ladder + separately matched final controls,full Gaussian OLS AIC/BIC; pooled log-response RMSE,original LAD/random/year rules; train-only scaling/cuts/knots; compatible source components reused,False,APP-C-COMPLETE授权仅C补算；历史含零客户恢复结果不作当前排名。,C/tables/C_HISTORICAL_LADDER.csv;C/tables/C_HISTORICAL_LADDER.md
C03,CL_C03,C,C.3–C.4,同控制阵风比较、地区FE、原天气及D参考结果,incident,E0 all60437/weather9857; positive R0c all51173/weather9254,exact original ladder + separately matched final controls,full Gaussian OLS AIC/BIC; pooled log-response RMSE,original LAD/random/year rules; train-only scaling/cuts/knots; compatible source components reused,False,APP-C-COMPLETE授权仅C补算；历史含零客户恢复结果不作当前排名。,C/tables/C_GUST_FUNCTION_COMPARISON.csv;C/tables/C_GUST_FUNCTION_COMPARISON.md;C/tables/C_LAD_FE_COMPARISON.csv;C/tables/C_LAD_FE_COMPARISON.md;C/tables/C_EXISTING_FIXED_AND_D_REFERENCES.csv;C/tables/C_EXISTING_FIXED_AND_D_REFERENCES.md;C/figures/C_GUST_PERFORMANCE.png
C04,CL_C04,C,C.1–C.4,四组合覆盖矩阵及补算完成状态,incident,E0 all60437/weather9857; positive R0c all51173/weather9254,exact original ladder + separately matched final controls,full Gaussian OLS AIC/BIC; pooled log-response RMSE,original LAD/random/year rules; train-only scaling/cuts/knots; compatible source components reused,False,APP-C-COMPLETE授权仅C补算；历史含零客户恢复结果不作当前排名。,C/tables/C_COVERAGE_MATRIX.csv;C/tables/C_COVERAGE_MATRIX.md;C/tables/C_COVERAGE_OVERVIEW.csv;C/tables/C_COVERAGE_OVERVIEW.md;C/tables/C_REFERENCE_COVERAGE.csv;C/tables/C_REFERENCE_COVERAGE.md
D01,CL_D01,D,D.1–D.4,结点区间和训练折结点摘要,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,结点m/s、既有95%区间、已保存折结点,只读已有结果；本轮不拟合,False,自由双结点500次与平台300次bootstrap分别标注；R0c自由分段59834含零客户，平台51173/9254为正客户；平台是候选，不是正文最终二次恢复模型的结点。,D/tables/D_KNOT_SUMMARY.csv;D/tables/D_KNOT_SUMMARY.md;D/tables/D_NESTED_FOLD_KNOTS.csv;D/tables/D_NESTED_FOLD_KNOTS.md
D02,CL_D02,D,D.1–D.2,E0全体及天气平台profile与bootstrap补充图及最小数据,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,来源LR；bootstrap计数,只读已有结果；本轮不拟合,True,使用已保存profile网格和bootstrap样本；不重新搜索或bootstrap。,D/figures/D_PLATEAU_PROFILE_BOOTSTRAP.png;D/data/E0_all_plateau_profile.csv;D/data/E0_all_plateau_bootstrap.csv;D/data/E0_weather_plateau_profile.csv;D/data/E0_weather_plateau_bootstrap.csv
