old_location,cell,old_numeric_token,old_context,new_value,unit,status,current_artifact,MR,CL,Word_status,target,n,producer,config
D-P002,,"60,453","UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P039,,"60,453","The resulting sample comprises 60,453 incidents. After matching weather data and excluding incidents with missing regional covariates, 60,437 incidents are available for the exposure model and 59,834 for the recovery model, the difference reflecting incidents for which restoration duration could not be computed or fell above the 99th percentile of the restoration duration distribution.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR01,MR10","CL01,CL03",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P039,,"60,437","The resulting sample comprises 60,453 incidents. After matching weather data and excluding incidents with missing regional covariates, 60,437 incidents are available for the exposure model and 59,834 for the recovery model, the difference reflecting incidents for which restoration duration could not be computed or fell above the 99th percentile of the restoration duration distribution.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR01,MR10","CL01,CL03",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P039,,"59,834","The resulting sample comprises 60,453 incidents. After matching weather data and excluding incidents with missing regional covariates, 60,437 incidents are available for the exposure model and 59,834 for the recovery model, the difference reflecting incidents for which restoration duration could not be computed or fell above the 99th percentile of the restoration duration distribution.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR01,MR10","CL01,CL03",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P018,,"60,437","Within the final analysis sample (n = 60,437), the mean of affected customers computed by aggregating across stages, following Equation 1, is 93.02. The mean computed using only the customer count reported in the earliest stage of each incident, the convention used when an incident is treated as equivalent to its first recorded stage, is 47.13. The two figures differ by a factor of 1.97 within the same sample.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P065,,"60,437","Tables F1 and F2 report the non-calendar coefficient sets for the final combined exposure sample (n = 60,437) and recovery sample (n = 59,834), under LAD and LAD-and-date clustered standard errors. Additive year and month indicators are included in both fits but their individual coefficients are not reproduced here. Point estimates are identical under the two covariance estimators. The development-only customer coefficients in Table D2 use a different sample and are not expected to match Table F2 numerically.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR11,MR25","CL01,CL02,CL03,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P065,,"59,834","Tables F1 and F2 report the non-calendar coefficient sets for the final combined exposure sample (n = 60,437) and recovery sample (n = 59,834), under LAD and LAD-and-date clustered standard errors. Additive year and month indicators are included in both fits but their individual coefficients are not reproduced here. Point estimates are identical under the two covariance estimators. The development-only customer coefficients in Table D2 use a different sample and are not expected to match Table F2 numerically.",60436.0,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,"MR11,MR25","CL01,CL02,CL03,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P002,,10.7,"UK Power Networks records 60,453 weather- and asset-related outage incidents across London, the South East, and the East of England between April 2021 and March 2024, including seven named storms. Stage-level records are reconstructed into incident-level affected-customer counts and total restoration spans. Aggregating customer counts across eligible stages gives a mean almost twice that obtained from the earliest recorded stage alone. Quadratic regressions of log-transformed outcomes show positive gust curvature in both margins. For affected customers, the full-sample fitted minimum is approximately 10.7 m/s at mean pressure; this is a conditional feature of the response curve, not a physical damage threshold. Positive quadratic terms also appear in alternative distributional specifications and retrospective temporal analyses, but the temporal comparison is not a previously untouched validation because early model development used observations from both periods. Across the combined sample, gust contributes modestly to out-of-sample predictive fit. In the recovery model, its incremental contribution is smaller than that of affected customers; within weather-attributed incidents, this pairwise ordering reverses. Comparisons during the seven storms describe fitted performance and do not independently establish that reversal. The results characterise nonlinear variation in the consequences of recorded outages across a heterogeneous distribution network, complementing component-level fragility research while estimating a different quantity.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,"MR10,MR13,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P073,,10.694,"where β1 and β2 are the fitted linear and quadratic gust coefficients. At another pressure level the location is G*P=−β1+β3P/2β2. Using full-precision combined-sample coefficients gives G*0=0.157286 and a physical gust of 10.694 m/s, reported as 10.69 m/s. The corresponding algebraic estimates at pressure one standard deviation below and above its mean are 9.656 and 11.732 m/s (Appendix H). These are conditional fitted locations; the interaction is not significant under two-way clustering, so the pressure contrast is not presented as an established operational effect.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P073,,10.69,"where β1 and β2 are the fitted linear and quadratic gust coefficients. At another pressure level the location is G*P=−β1+β3P/2β2. Using full-precision combined-sample coefficients gives G*0=0.157286 and a physical gust of 10.694 m/s, reported as 10.69 m/s. The corresponding algebraic estimates at pressure one standard deviation below and above its mean are 9.656 and 11.732 m/s (Appendix H). These are conditional fitted locations; the interaction is not significant under two-way clustering, so the pressure contrast is not presented as an established operational effect.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P118,,10.69,"The analysis finds positive quadratic gust terms in models of log-transformed customer counts and restoration spans among recorded weather- and asset-related outages. The sign of this curvature recurs in the reported sensitivity checks, whereas fitted minima depend on the reference conditions and sample. The exposure point estimate is approximately 10.69 m/s at average pressure in the combined sample. Its physical-unit uncertainty requires a consistent resample-level treatment, and the temporal evidence is retrospective rather than independent.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,"MR18,MR19,MR26","CL01,CL02,CL03,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P073,,10.69,"In the full combined exposure sample, 63.70 percent of incidents have gust below the fitted reference value of 10.69 m/s; the corresponding proportion within the weather-attributed exposure subset is 36.83 percent. Thus the within-subset share below that value is approximately 57.8 percent of the full-sample share. This is a comparison of two within-sample proportions, not the proportion of all low-gust incidents belonging to each group. The change documents reduced low-gust support and is consistent with a support-related explanation for the negative predictive increment. It does not establish that selection is the sole cause or that the recovery model is unaffected.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,,,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P101,,10.69,"For exposure, adding gust reduces mean out-of-fold R-squared by 0.15 percentage points in the weather-attributed sample. This is an unfavourable predictive result for that comparison, although it does not by itself negate a positive fitted quadratic coefficient. Appendix G documents an association between cause classification and gust: the weather-related share rises from 6.89 percent in the lowest gust decile to 56.10 percent in the highest. The share of observations below 10.69 m/s is 63.70 percent in the full exposure sample and 36.83 percent in the weather-attributed subset. This reduced low-gust coverage is a plausible contributor to the exposure result. The descriptive evidence does not establish it as the sole cause, and restricted covariate support can also affect recovery-model estimates.",10.807545499294342,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR12,"CL03,CL04",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P017,,9.87,"Weather variables are matched to each incident using hourly reanalysis data from the Open-Meteo historical weather API [13], which is based on the ERA5 global reanalysis dataset [14]. Data are indexed to the latitude and longitude reported for each incident and the hour in which it began. The primary wind variable used throughout this paper is instantaneous gust speed rather than sustained wind speed. This choice follows the convention in structural wind engineering, where design wind loads are based on a short-duration (3-second) gust rather than a longer-averaged sustained speed, because peak instantaneous loading determines structural response and failure [15]. This convention has been applied specifically to wind-induced damage in electrical grid infrastructure [16]. In the final analysis sample, gust speed has a mean of 9.87 m/s and a standard deviation of 5.22 m/s, referenced in Section 4.1 when reporting the exposure margin’s turning point in physical units.",9.91022238832415,m/s mean,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\H0_R1_B1_shape.csv,"MR01,MR02,MR05,MR27","CL01,CL02,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P017,,5.22,"Weather variables are matched to each incident using hourly reanalysis data from the Open-Meteo historical weather API [13], which is based on the ERA5 global reanalysis dataset [14]. Data are indexed to the latitude and longitude reported for each incident and the hour in which it began. The primary wind variable used throughout this paper is instantaneous gust speed rather than sustained wind speed. This choice follows the convention in structural wind engineering, where design wind loads are based on a short-duration (3-second) gust rather than a longer-averaged sustained speed, because peak instantaneous loading determines structural response and failure [15]. This convention has been applied specifically to wind-induced damage in electrical grid infrastructure [16]. In the final analysis sample, gust speed has a mean of 9.87 m/s and a standard deviation of 5.22 m/s, referenced in Section 4.1 when reporting the exposure margin’s turning point in physical units.",5.279979383259645,m/s SD,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\H0_R1_B1_shape.csv,"MR01,MR02,MR05,MR27","CL01,CL02,CL04,CL05",not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P030,,47.13,"Constructing affected customers by aggregating across stages, rather than taking the customer count reported in the earliest stage of each incident, changes the sample mean from 47.13 to 93.02 customers, a difference of a factor of 1.97, within the same final analysis sample reported in Table 1. This difference reflects incidents with more than one restoration stage, in which the earliest stage alone does not capture the full extent of the customers affected as the incident evolves. Appendix B reports the full data processing pipeline underlying Equations 1 and 2, including the handling of a small number of boundary cases not covered by the general definitions above.",47.12833410550003,customers,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P018,,47.13,"Within the final analysis sample (n = 60,437), the mean of affected customers computed by aggregating across stages, following Equation 1, is 93.02. The mean computed using only the customer count reported in the earliest stage of each incident, the convention used when an incident is treated as equivalent to its first recorded stage, is 47.13. The two figures differ by a factor of 1.97 within the same sample.",47.12833410550003,customers,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P030,,93.02,"Constructing affected customers by aggregating across stages, rather than taking the customer count reported in the earliest stage of each incident, changes the sample mean from 47.13 to 93.02 customers, a difference of a factor of 1.97, within the same final analysis sample reported in Table 1. This difference reflects incidents with more than one restoration stage, in which the earliest stage alone does not capture the full extent of the customers affected as the incident evolves. Appendix B reports the full data processing pipeline underlying Equations 1 and 2, including the handling of a small number of boundary cases not covered by the general definitions above.",93.02572969753128,customers,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P018,,93.02,"Within the final analysis sample (n = 60,437), the mean of affected customers computed by aggregating across stages, following Equation 1, is 93.02. The mean computed using only the customer count reported in the earliest stage of each incident, the convention used when an incident is treated as equivalent to its first recorded stage, is 47.13. The two figures differ by a factor of 1.97 within the same sample.",93.02572969753128,customers,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P030,,1.97,"Constructing affected customers by aggregating across stages, rather than taking the customer count reported in the earliest stage of each incident, changes the sample mean from 47.13 to 93.02 customers, a difference of a factor of 1.97, within the same final analysis sample reported in Table 1. This difference reflects incidents with more than one restoration stage, in which the earliest stage alone does not capture the full extent of the customers affected as the incident evolves. Appendix B reports the full data processing pipeline underlying Equations 1 and 2, including the handling of a small number of boundary cases not covered by the general definitions above.",1.9738811367549456,"ratio; lowest stage number, not earliest timestamp",current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P018,,1.97,"Within the final analysis sample (n = 60,437), the mean of affected customers computed by aggregating across stages, following Equation 1, is 93.02. The mean computed using only the customer count reported in the earliest stage of each incident, the convention used when an incident is treated as equivalent to its first recorded stage, is 47.13. The two figures differ by a factor of 1.97 within the same sample.",1.9738811367549456,"ratio; lowest stage number, not earliest timestamp",current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,MR04,CL01,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P073,,0.157286,"where β1 and β2 are the fitted linear and quadratic gust coefficients. At another pressure level the location is G*P=−β1+β3P/2β2. Using full-precision combined-sample coefficients gives G*0=0.157286 and a physical gust of 10.694 m/s, reported as 10.69 m/s. The corresponding algebraic estimates at pressure one standard deviation below and above its mean are 9.656 and 11.732 m/s (Appendix H). These are conditional fitted locations; the interaction is not significant under two-way clustering, so the pressure contrast is not presented as an established operational effect.",0.16994822249025912,standardized gust,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P073,,9.656,"where β1 and β2 are the fitted linear and quadratic gust coefficients. At another pressure level the location is G*P=−β1+β3P/2β2. Using full-precision combined-sample coefficients gives G*0=0.157286 and a physical gust of 10.694 m/s, reported as 10.69 m/s. The corresponding algebraic estimates at pressure one standard deviation below and above its mean are 9.656 and 11.732 m/s (Appendix H). These are conditional fitted locations; the interaction is not significant under two-way clustering, so the pressure contrast is not presented as an established operational effect.",9.647571090290969,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
D-P073,,11.732,"where β1 and β2 are the fitted linear and quadratic gust coefficients. At another pressure level the location is G*P=−β1+β3P/2β2. Using full-precision combined-sample coefficients gives G*0=0.157286 and a physical gust of 10.694 m/s, reported as 10.69 m/s. The corresponding algebraic estimates at pressure one standard deviation below and above its mean are 9.656 and 11.732 m/s (Appendix H). These are conditional fitted locations; the interaction is not significant under two-way clustering, so the pressure contrast is not presented as an established operational effect.",11.967519908297716,m/s,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P076,,−0.032325899095631154,"The local implementation audit reproduced the final exposure coefficients at full precision: β1=−0.032325899095631154, β2=0.10276170747389514 and β3=−0.0408384359554068. The corresponding gust mean and standard deviation are 9.87229677581956 and 5.222713076874045 m/s. Table H1 evaluates G*P=−β1+β3P/2β2 and converts the point estimates to physical gust units using that fit’s scaling. These deterministic evaluations add no new model fit or independent validation.",-0.036035759551102414,beta1,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P076,,0.10276170747389514,"The local implementation audit reproduced the final exposure coefficients at full precision: β1=−0.032325899095631154, β2=0.10276170747389514 and β3=−0.0408384359554068. The corresponding gust mean and standard deviation are 9.87229677581956 and 5.222713076874045 m/s. Table H1 evaluates G*P=−β1+β3P/2β2 and converts the point estimates to physical gust units using that fit’s scaling. These deterministic evaluations add no new model fit or independent validation.",0.106019818927991,beta2,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P076,,−0.0408384359554068,"The local implementation audit reproduced the final exposure coefficients at full precision: β1=−0.032325899095631154, β2=0.10276170747389514 and β3=−0.0408384359554068. The corresponding gust mean and standard deviation are 9.87229677581956 and 5.222713076874045 m/s. Table H1 evaluates G*P=−β1+β3P/2β2 and converts the point estimates to physical gust units using that fit’s scaling. These deterministic evaluations add no new model fit or independent validation.",-0.046583620077591446,beta3_interaction,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P076,,9.87229677581956,"The local implementation audit reproduced the final exposure coefficients at full precision: β1=−0.032325899095631154, β2=0.10276170747389514 and β3=−0.0408384359554068. The corresponding gust mean and standard deviation are 9.87229677581956 and 5.222713076874045 m/s. Table H1 evaluates G*P=−β1+β3P/2β2 and converts the point estimates to physical gust units using that fit’s scaling. These deterministic evaluations add no new model fit or independent validation.",9.91022238832415,gust_mean,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
A-P076,,5.222713076874045,"The local implementation audit reproduced the final exposure coefficients at full precision: β1=−0.032325899095631154, β2=0.10276170747389514 and β3=−0.0408384359554068. The corresponding gust mean and standard deviation are 9.87229677581956 and 5.222713076874045 m/s. Table H1 evaluates G*P=−β1+β3P/2β2 and converts the point estimates to physical gust units using that fit’s scaling. These deterministic evaluations add no new model fit or independent validation.",5.279979383259645,gust_sd,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,MR19,CL02,not_modified,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\src\numeric_acceptance.py,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R03\configs\R04_primary.json
