claim_id,body_location,claim_summary,needed_evidence,appendix_subsection,body_existing,supplement_required,requirement_id,status
CL_A01,§2.1 P015; §2.4 P026–027,研究事件来源、原因类别与分析样本不同,固定输入的样本量、原因计数和日期/LAD覆盖,A.1–A.3,,固定输入的样本量、原因计数和日期/LAD覆盖,A01,已生成
CL_A02,§2.1 P015; §3.1 P031; Table 2,结果变换和协变量定义决定回归尺度,变量、单位、来源、变换、参考水平,A.2,,变量、单位、来源、变换、参考水平,A02,已生成
CL_A03,§2.4 P026–027,六类原因分组；主样本只保留天气和资产,原始原因代码映射,A.1,,原始原因代码映射,A03,已有且被明确复用
CL_A04,§2.3 P021; §2.4 P028,协变量分布及VIF支持设计说明,固定最终设计矩阵的VIF描述统计,A.4,,固定最终设计矩阵的VIF描述统计,A04,已生成
CL_A05,§2.4 P027; §4.2 P058,天气原因份额随gust变化是样本构成描述,已有固定十分位原因构成数据,A.4,,已有固定十分位原因构成数据,A05,已生成
CL_A06,§2.4 P027,正文天气原因份额7%至91%的具体口径,与91%端点匹配的既有分箱/计数,A.4,,与91%端点匹配的既有分箱/计数,A06,有具体原因的缺失
CL_B01,§2.2 P019,客户数排除再中断；时长保留全部阶段跨度,事件构造规则和代表行修复证据,B.1–B.2,,事件构造规则和代表行修复证据,B01,已生成
CL_B02,§2.2 P019; §2.3 P021,零客户时长特征与两种时长定义,在固定恢复输入上汇总零客户/正客户、1小时、A/B时长,B.3–B.4,,在固定恢复输入上汇总零客户/正客户、1小时、A/B时长,B02,已生成
CL_B03,§2.2 P019,第一阶段客户数会低估重建事件客户数,第一阶段对完整事件的已有比较,B.1,,第一阶段对完整事件的已有比较,B03,已生成
CL_C01,§3.1 P031; §3.2 P034; P096,已有候选规格阶梯与性能比较,四组最终样本及精确候选定义,C.1,,四组最终样本及精确候选定义,C01,已生成
CL_C02,§3.2 P035; §4.1 P049; §4.2 P058,平台与自由分段的既有比较,原12阶梯及Table 3单/双自由结点比较,C.2,,原12阶梯及Table 3单/双自由结点比较,C02,已生成
CL_C03,§4.2 P058–062; P096,天气样本候选结果,同控制阵风比较、地区FE、原天气及D参考结果,C.3–C.4,,同控制阵风比较、地区FE、原天气及D参考结果,C03,已生成
CL_C04,P096 Supplementary C,正文附录目录声称各样本完整12项候选,四组合覆盖矩阵及补算完成状态,C.1–C.4,,四组合覆盖矩阵及补算完成状态,C04,已生成
CL_D01,§3.2 P035; §4.1 P049–051,结点位置与已有profile/bootstrap/nested折号,结点区间和训练折结点摘要,D.1–D.4,,结点区间和训练折结点摘要,D01,已生成
CL_D02,§4.1 P049–051; P097,平台结点定位的补充证据,E0全体及天气平台profile与bootstrap补充图及最小数据,D.1–D.2,Figure 4为自由分段profile；此图补充平台规格,E0全体及天气平台profile与bootstrap补充图及最小数据,D02,已生成
CL_E01,§3.3 P038; §4.5 P077; Table 8,开发/后续两期事件回归比较,两期设计及已保存关键系数完整列出,E.1–E.3,Table 8只列部分核心斜率；此表加入已存交互和SE,两期设计及已保存关键系数完整列出,E01,已生成
CL_F01,§3.4 P040; §4.1 P052–053; §4.2 P061,四组最终规格及聚类推断,四组完整双向聚类系数和全体LAD-only对照,F.1–F.2,,四组完整双向聚类系数和全体LAD-only对照,F01,已生成
