path,exists,SHA_match
D:\Pyprogramme\STST2603\claude_branch\HANDOFF_交接文档.md,True,True
D:\Pyprogramme\STST2603\claude_branch\LOG.md,True,False
D:\Pyprogramme\STST2603\claude_branch\Paper1_Appendices.md,True,True
D:\Pyprogramme\STST2603\claude_branch\Paper1_draft.md,True,True
D:\Pyprogramme\STST2603\claude_branch\Paper2_draft.md,True,True
D:\Pyprogramme\STST2603\claude_branch\Paper3_draft.md,True,True
D:\Pyprogramme\STST2603\claude_branch\PaperReview_CLAUDE.md,True,True
D:\Pyprogramme\STST2603\claude_branch\README.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\01_研究思路评估与测试计划.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\02_系数明细盘点.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\03_Draft句子可读性审查与修改方案.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\04_Draft冗余与重复审查报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Appendix.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Draft.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Fig3.png,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Paper1_Appendices.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Paper1_Appendices_v2.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\Section 1.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\修订审查与待补分析.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\0905new\Appendix_revised.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\0905new\Draft_revised.docx,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\0905new\最终逻辑审查_工程统计视角.md,True,True
D:\Pyprogramme\STST2603\claude_branch\docs\0905new\补充实验与计算_人工确认清单.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\17#\01_原始分箱关系.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\17#\02_子组构成排查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\17#\03_灵活函数形式复核.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\17#\04_综合判断与叙事更新建议.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\17#\05_n_stages分层检验与最终叙事校准.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\19#\00_holdout样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\19#\01_E0暴露模型holdout结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\19#\02_R0c恢复模型holdout结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\19#\03_方差分解holdout复现.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\19#\04_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\20#\00_旧论文正文结构梳理.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\20#\01_建模画图脚本清单.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\20#\02_LAD风敏感性地图方法精确复原.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\20#\03_其余建模内容概览.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\20#\04_旧论文完整框架地图.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\00_全量样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\01_全量样本E0_R0c最终拟合.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\02_全量样本临界风速与方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\03_阵风剂量反应曲线说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\04a_基线区域差异_预测customers_v2.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\04b_基线区域差异_预测duration_B.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\04_基线区域差异地图图注.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\05_阵风VS区域影响幅度对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\06_暴露恢复预测面相关性.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\07_customers_v2剂量反应曲线说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\08_阵风vs客户规模剂量反应对比图.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\09_地图角色重新定位说明.md,True,True
